StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,OBESITY_CrudePrev,Year
NY,New York,Erie,36029,36029012300,39.9,2023
NY,New York,Dutchess,36027,36027610000,39.9,2023
NY,New York,Bronx,36005,36005024501,39.9,2023
NY,New York,Kings,36047,36047030700,39.9,2023
NY,New York,Kings,36047,36047089200,39.9,2023
NY,New York,Bronx,36005,36005002300,39.9,2023
NY,New York,Westchester,36119,36119982000,39.9,2023
NY,New York,Westchester,36119,36119002900,39.9,2023
NY,New York,Chenango,36017,36017970700,39.9,2023
NY,New York,Cattaraugus,36009,36009960702,39.8,2023
NY,New York,Bronx,36005,36005002000,39.8,2023
NY,New York,Cortland,36023,36023970100,39.8,2023
NY,New York,Wyoming,36121,36121971100,39.8,2023
NY,New York,Bronx,36005,36005004600,39.8,2023
NY,New York,St. Lawrence,36089,36089491700,39.8,2023
NY,New York,Clinton,36019,36019100100,39.8,2023
NY,New York,Bronx,36005,36005017300,39.8,2023
NY,New York,Oneida,36065,36065022500,39.8,2023
NY,New York,Kings,36047,36047110600,39.8,2023
NY,New York,Orleans,36073,36073401300,39.8,2023
NY,New York,Wyoming,36121,36121970600,39.8,2023
NY,New York,Oswego,36075,36075020902,39.7,2023
NY,New York,Livingston,36051,36051030800,39.7,2023
NY,New York,Dutchess,36027,36027220201,39.7,2023
NY,New York,Suffolk,36103,36103159103,39.7,2023
NY,New York,Bronx,36005,36005002702,39.7,2023
NY,New York,Clinton,36019,36019100300,39.7,2023
NY,New York,Oswego,36075,36075020703,39.7,2023
NY,New York,Bronx,36005,36005035900,39.7,2023
NY,New York,Chenango,36017,36017970900,39.7,2023
NY,New York,Westchester,36119,36119003500,39.7,2023
NY,New York,Monroe,36055,36055002000,39.7,2023
NY,New York,Franklin,36033,36033950100,39.7,2023
NY,New York,Erie,36029,36029008300,39.6,2023
NY,New York,Nassau,36059,36059407201,39.6,2023
NY,New York,Oswego,36075,36075021104,39.6,2023
NY,New York,Greene,36039,36039081000,39.6,2023
NY,New York,Queens,36081,36081004300,39.6,2023
NY,New York,Bronx,36005,36005015900,39.6,2023
NY,New York,Queens,36081,36081103201,39.6,2023
NY,New York,Orleans,36073,36073040300,39.6,2023
NY,New York,Nassau,36059,36059406702,39.6,2023
NY,New York,Tioga,36107,36107020703,39.6,2023
NY,New York,Chenango,36017,36017970100,39.5,2023
NY,New York,Livingston,36051,36051031100,39.5,2023
NY,New York,Livingston,36051,36051031300,39.5,2023
NY,New York,Bronx,36005,36005004300,39.5,2023
NY,New York,Bronx,36005,36005007900,39.5,2023
NY,New York,Broome,36007,36007000600,39.5,2023
NY,New York,Bronx,36005,36005036901,39.5,2023
NY,New York,Cayuga,36011,36011040400,39.5,2023
NY,New York,Genesee,36037,36037951300,39.5,2023
NY,New York,Onondaga,36067,36067001600,39.5,2023
NY,New York,Clinton,36019,36019101800,39.5,2023
NY,New York,Oneida,36065,36065021401,39.5,2023
NY,New York,Oswego,36075,36075021103,39.5,2023
NY,New York,Ontario,36069,36069050302,39.5,2023
NY,New York,Richmond,36085,36085032300,39.5,2023
NY,New York,Franklin,36033,36033950600,39.5,2023
NY,New York,Niagara,36063,36063020300,39.5,2023
NY,New York,Genesee,36037,36037950900,39.4,2023
NY,New York,Niagara,36063,36063023500,39.4,2023
NY,New York,Cattaraugus,36009,36009961800,39.4,2023
NY,New York,Jefferson,36045,36045060500,39.4,2023
NY,New York,Genesee,36037,36037950100,39.4,2023
NY,New York,Richmond,36085,36085004000,39.4,2023
NY,New York,Orange,36071,36071001200,39.4,2023
NY,New York,Oneida,36065,36065021202,39.4,2023
NY,New York,St. Lawrence,36089,36089490500,39.4,2023
NY,New York,Wayne,36117,36117021400,39.4,2023
NY,New York,Albany,36001,36001000600,39.4,2023
NY,New York,Oswego,36075,36075020600,39.4,2023
NY,New York,Bronx,36005,36005018500,39.4,2023
NY,New York,Onondaga,36067,36067002700,39.4,2023
NY,New York,St. Lawrence,36089,36089490700,39.4,2023
NY,New York,Cayuga,36011,36011041200,39.4,2023
NY,New York,Bronx,36005,36005004100,39.4,2023
NY,New York,Onondaga,36067,36067013900,39.4,2023
NY,New York,Rensselaer,36083,36083041100,39.3,2023
NY,New York,Niagara,36063,36063021400,39.3,2023
NY,New York,Oswego,36075,36075020400,39.3,2023
NY,New York,Jefferson,36045,36045062100,39.3,2023
NY,New York,Erie,36029,36029000200,39.3,2023
NY,New York,Rensselaer,36083,36083041000,39.3,2023
NY,New York,Erie,36029,36029012400,39.3,2023
NY,New York,Chautauqua,36013,36013035500,39.3,2023
NY,New York,Monroe,36055,36055005400,39.3,2023
NY,New York,Nassau,36059,36059406802,39.3,2023
NY,New York,Clinton,36019,36019102000,39.3,2023
NY,New York,Genesee,36037,36037950600,39.3,2023
NY,New York,Sullivan,36105,36105951500,39.3,2023
NY,New York,Bronx,36005,36005012901,39.2,2023
NY,New York,Orange,36071,36071015006,39.2,2023
NY,New York,Cayuga,36011,36011041700,39.2,2023
NY,New York,Chautauqua,36013,36013036402,39.2,2023
NY,New York,Onondaga,36067,36067004900,39.2,2023
NY,New York,Chautauqua,36013,36013030100,39.2,2023
NY,New York,Madison,36053,36053030102,39.2,2023
NY,New York,Franklin,36033,36033950900,39.2,2023
NY,New York,Tioga,36107,36107020702,39.2,2023
NY,New York,Clinton,36019,36019101600,39.2,2023
NY,New York,Wyoming,36121,36121970100,39.2,2023
NY,New York,Montgomery,36057,36057070300,39.2,2023
NY,New York,Monroe,36055,36055006200,39.2,2023
NY,New York,Queens,36081,36081025400,39.2,2023
NY,New York,Chenango,36017,36017970500,39.1,2023
NY,New York,Nassau,36059,36059406900,39.1,2023
NY,New York,Oswego,36075,36075021602,39.1,2023
NY,New York,Monroe,36055,36055008301,39.1,2023
NY,New York,Bronx,36005,36005021302,39.1,2023
NY,New York,Rensselaer,36083,36083052102,39.1,2023
NY,New York,Bronx,36005,36005036300,39.1,2023
NY,New York,Kings,36047,36047091200,39.1,2023
NY,New York,Albany,36001,36001002000,39.0,2023
NY,New York,Steuben,36101,36101961100,39.0,2023
NY,New York,Wayne,36117,36117021100,39.0,2023
NY,New York,Queens,36081,36081026600,39.0,2023
NY,New York,Onondaga,36067,36067001702,39.0,2023
NY,New York,Wayne,36117,36117021200,39.0,2023
NY,New York,Franklin,36033,36033950700,39.0,2023
NY,New York,Bronx,36005,36005017500,39.0,2023
NY,New York,Erie,36029,36029012501,39.0,2023
NY,New York,Broome,36007,36007001800,39.0,2023
NY,New York,Fulton,36035,36035970700,39.0,2023
NY,New York,Oswego,36075,36075021502,39.0,2023
NY,New York,Westchester,36119,36119000103,39.0,2023
NY,New York,Bronx,36005,36005003700,39.0,2023
NY,New York,Ontario,36069,36069052200,38.9,2023
NY,New York,Bronx,36005,36005032400,38.9,2023
NY,New York,Tioga,36107,36107020500,38.9,2023
NY,New York,Oswego,36075,36075021604,38.9,2023
NY,New York,Wayne,36117,36117021800,38.9,2023
NY,New York,Queens,36081,36081018800,38.9,2023
NY,New York,Cayuga,36011,36011041600,38.9,2023
NY,New York,Jefferson,36045,36045060700,38.9,2023
NY,New York,Bronx,36005,36005038000,38.9,2023
NY,New York,Seneca,36099,36099950900,38.9,2023
NY,New York,Bronx,36005,36005015500,38.9,2023
NY,New York,Cortland,36023,36023971200,38.9,2023
NY,New York,Orange,36071,36071015004,38.9,2023
NY,New York,Oneida,36065,36065021302,38.9,2023
NY,New York,Chenango,36017,36017970801,38.8,2023
NY,New York,Clinton,36019,36019101700,38.8,2023
NY,New York,Orange,36071,36071001500,38.8,2023
